school_id,org_name,url,latitude,longitude,school_donations,total,regional_council,org_type,telephone
249,Kuranui College,http://kuranuicollege.school.nz,-41.092587,175.451039,"Donations should not be requested, unless for a school camp",811,Wellington Region,Secondary (Year 9-15),06-3049116
273,Wellington High School and Com Ed Centre,http://www.whs.school.nz,-41.300724,174.774692,Donations may be requested,1680,Wellington Region,Secondary (Year 9-15),04-3858911
284,St Catherines College (Kilbirnie),http://www.stcatherinescollege.school.nz,-41.318044,174.792481,"Donations should not be requested, unless for a school camp",215,Wellington Region,Secondary (Year 9-15),04-9398988
259,Naenae College,http://www.naenae-college.school.nz,-41.196633,174.940755,"Donations should not be requested, unless for a school camp",829,Wellington Region,Secondary (Year 9-15),04-5677175
478,Wainuiomata High School,http://www.wainuiomatahigh.school.nz,-41.251669,174.936203,"Donations should not be requested, unless for a school camp",728,Wellington Region,Secondary (Year 9-15),04-9383224
255,Porirua College,http://www.poriruacollege.school.nz,-41.141261,174.874459,"Donations should not be requested, unless for a school camp",608,Wellington Region,Secondary (Year 9-15),04-2375465
254,Mana College,http://www.mana.school.nz,-41.127967,174.831116,"Donations should not be requested, unless for a school camp",514,Wellington Region,Secondary (Year 9-15),04-2375424
257,Tawa College,http://www.tawacollege.school.nz,-41.164996,174.830508,"Donations should not be requested, unless for a school camp",1125,Wellington Region,Secondary (Year 9-15),04-2328184
258,Taita College,http://www.taita.school.nz/,-41.176079,174.966401,"Donations should not be requested, unless for a school camp",378,Wellington Region,Secondary (Year 9-15),04-5678728
240,Otaki College,http://www.otakicollege.school.nz,-40.759363,175.153793,"Donations should not be requested, unless for a school camp",438,Wellington Region,Secondary (Year 7-15),06-3648204
244,Chanel College,http://www.chanelcollege.school.nz,-40.960109,175.655051,"Donations should not be requested, unless for a school camp",302,Wellington Region,Secondary (Year 7-15),06-3700612
245,Rathkeale College,http://www.rathkeale.school.nz,-40.898298,175.687565,Donations may be requested,327,Wellington Region,Secondary (Year 9-15),06-3700175
248,Paraparaumu College,http://www.paraparaumucollege.school.nz,-40.888259,175.003987,"Donations should not be requested, unless for a school camp",1534,Wellington Region,Secondary (Year 9-15),04-9025170
546,Whitby Collegiate,https://www.whitbycollegiate.school.nz/,-41.114985,174.894118,Not applicable,357,Wellington Region,Secondary (Year 7-15),04-2341070 Ext 710
250,Upper Hutt College,http://www.upperhutt.school.nz,-41.126202,175.040548,"Donations should not be requested, unless for a school camp",1184,Wellington Region,Secondary (Year 9-15),04-5278749
276,St Patrick's College (Kilbirnie),http://www.stpats.school.nz/,-41.313833,174.795985,Donations may be requested,741,Wellington Region,Secondary (Year 9-15),04-9393070
277,Rongotai College,http://www.rongotai.school.nz,-41.321848,174.80066,Donations may be requested,728,Wellington Region,Secondary (Year 9-15),04-9393050
256,Bishop Viard College,http://www.viard.school.nz/,-41.140416,174.839226,"Donations should not be requested, unless for a school camp",391,Wellington Region,Secondary (Year 7-15),04-2375248
247,Kāpiti College,http://www.kapiticollege.school.nz,-40.921084,174.982229,Donations may be requested,1493,Wellington Region,Secondary (Year 9-15),04-9025121
286,St Mary's College (Wellington),http://www.stmw.school.nz/,-41.275812,174.77518,Donations may be requested,575,Wellington Region,Secondary (Year 9-15),04-4735554
4158,Hutt International Boys' School,http://www.hibs.school.nz,-41.140881,175.037121,Donations may be requested,654,Wellington Region,Secondary (Year 7-15),04-5286227
261,Hutt Valley High School,http://www.hvhs.school.nz,-41.216497,174.901464,Donations may be requested,1973,Wellington Region,Secondary (Year 9-15),04-5664584
