"Department","Vote","App ID","Parent ID","Appropriation Name","Category Name","Group Type","Appropriation or Category Type","Restriction Type","Functional Classification","Amount $000","Year","Amount Type","Periodicity","Current Scope","M Number","Portfolio Name"
"Controller and Auditor-General","Audit",11134,11066,"Statutory Auditor Function","Performance Audits, Inquiries, and other studies","MCA","Departmental Output Expenses",NA,"Core Government Services",13126,2024,"Main Estimates","A","This category is limited to undertaking and reporting on performance audits, inquiries, and other studies relating to public entities under the Public Audit Act 2001 and responding to requests for approvals in relation to pecuniary interest questions regulated by the Local Authorities (Members’ Interests) Act 1968.",78,"Speaker of the House of Representatives"
"Department of Conservation","Conservation",7733,7733,"Management of Natural Heritage","Management of Natural Heritage","Single","Departmental Output Expenses",NA,"Environmental Protection",196561,2019,"Actuals","A","This appropriation is limited to maintaining, restoring and protecting ecosystems, habitats and species.",16,"Minister of Conservation"
"Department of Conservation","Conservation",7734,7734,"Management of Historic Heritage","Management of Historic Heritage","Single","Departmental Output Expenses",NA,"Environmental Protection",7365,2019,"Actuals","A","This appropriation is limited to the protection and conservation management of historic heritage.",16,"Minister of Conservation"
"Department of Conservation","Conservation",7735,7735,"Management of Recreational Opportunities","Management of Recreational Opportunities","Single","Departmental Output Expenses",NA,"Environmental Protection",168693,2019,"Actuals","A","This appropriation is limited to recreational facilities and services, and the management of business concessions.",16,"Minister of Conservation"
"Department of Conservation","Conservation",8925,8925,"Crown Contribution to Regional Pest Management","Crown Contribution to Regional Pest Management","Single","Departmental Output Expenses",NA,"Environmental Protection",2995,2019,"Actuals","A","This appropriation is limited to delivery of services to control weed and animal pests on lands administered by the Department of Conservation to meet statutory good neighbour obligations and negotiated outcomes of regional pest management plans.",16,"Minister of Conservation"
"Department of Conservation","Conservation",7733,7733,"Management of Natural Heritage","Management of Natural Heritage","Single","Departmental Output Expenses",NA,"Environmental Protection",240700,2020,"Actuals","A","This appropriation is limited to maintaining, restoring and protecting ecosystems, habitats and species.",16,"Minister of Conservation"
"Department of Conservation","Conservation",7734,7734,"Management of Historic Heritage","Management of Historic Heritage","Single","Departmental Output Expenses",NA,"Environmental Protection",6486,2020,"Actuals","A","This appropriation is limited to the protection and conservation management of historic heritage.",16,"Minister of Conservation"
"Department of Conservation","Conservation",7735,7735,"Management of Recreational Opportunities","Management of Recreational Opportunities","Single","Departmental Output Expenses",NA,"Environmental Protection",178650,2020,"Actuals","A","This appropriation is limited to recreational facilities and services, and the management of business concessions.",16,"Minister of Conservation"
"Department of Conservation","Conservation",8925,8925,"Crown Contribution to Regional Pest Management","Crown Contribution to Regional Pest Management","Single","Departmental Output Expenses",NA,"Environmental Protection",2701,2020,"Actuals","A","This appropriation is limited to delivery of services to control weed and animal pests on lands administered by the Department of Conservation to meet statutory good neighbour obligations and negotiated outcomes of regional pest management plans.",16,"Minister of Conservation"
"Department of Conservation","Conservation",7733,7733,"Management of Natural Heritage","Management of Natural Heritage","Single","Departmental Output Expenses",NA,"Environmental Protection",288678,2021,"Actuals","A","This appropriation is limited to maintaining, restoring and protecting ecosystems, habitats and species.",16,"Minister of Conservation"
"Department of Conservation","Conservation",7734,7734,"Management of Historic Heritage","Management of Historic Heritage","Single","Departmental Output Expenses",NA,"Environmental Protection",6275,2021,"Actuals","A","This appropriation is limited to the protection and conservation management of historic heritage.",16,"Minister of Conservation"
"Department of Conservation","Conservation",7735,7735,"Management of Recreational Opportunities","Management of Recreational Opportunities","Single","Departmental Output Expenses",NA,"Environmental Protection",184559,2021,"Actuals","A","This appropriation is limited to recreational facilities and services, and the management of business concessions.",16,"Minister of Conservation"
"Department of Conservation","Conservation",8925,8925,"Crown Contribution to Regional Pest Management","Crown Contribution to Regional Pest Management","Single","Departmental Output Expenses",NA,"Environmental Protection",2732,2021,"Actuals","A","This appropriation is limited to delivery of services to control weed and animal pests on lands administered by the Department of Conservation to meet statutory good neighbour obligations and negotiated outcomes of regional pest management plans.",16,"Minister of Conservation"
"Department of Conservation","Conservation",13024,13024,"Search and Rescue Activities","Search and Rescue Activities","Single","Departmental Output Expenses","Permanent Legislative Authority","Core Government Services",69,2021,"Actuals","A","This appropriation is limited to search and rescue activities and services as authorised under Section 9(1) of the Land Transport Management Act 2003.",16,"Minister of Conservation"
"Department of Conservation","Conservation",8925,8925,"Crown Contribution to Regional Pest Management","Crown Contribution to Regional Pest Management","Single","Departmental Output Expenses",NA,"Environmental Protection",2547,2022,"Actuals","A","This appropriation is limited to delivery of services to control weed and animal pests on lands administered by the Department of Conservation to meet statutory good neighbour obligations and negotiated outcomes of regional pest management plans.",16,"Minister of Conservation"
"Department of Conservation","Conservation",7733,7733,"Management of Natural Heritage","Management of Natural Heritage","Single","Departmental Output Expenses",NA,"Environmental Protection",326935,2022,"Actuals","A","This appropriation is limited to maintaining, restoring and protecting ecosystems, habitats and species.",16,"Minister of Conservation"
"Department of Conservation","Conservation",7734,7734,"Management of Historic Heritage","Management of Historic Heritage","Single","Departmental Output Expenses",NA,"Environmental Protection",7698,2022,"Actuals","A","This appropriation is limited to the protection and conservation management of historic heritage.",16,"Minister of Conservation"
"Department of Conservation","Conservation",7735,7735,"Management of Recreational Opportunities","Management of Recreational Opportunities","Single","Departmental Output Expenses",NA,"Environmental Protection",184775,2022,"Actuals","A","This appropriation is limited to recreational facilities and services, and the management of business concessions.",16,"Minister of Conservation"
"Department of Conservation","Conservation",13024,13024,"Search and Rescue Activities","Search and Rescue Activities","Single","Departmental Output Expenses","Permanent Legislative Authority","Core Government Services",150,2022,"Actuals","A","This appropriation is limited to search and rescue activities and services as authorised under Section 9(1) of the Land Transport Management Act 2003.",16,"Minister of Conservation"
"Department of Conservation","Conservation",7733,7733,"Management of Natural Heritage","Management of Natural Heritage","Single","Departmental Output Expenses",NA,"Environmental Protection",303599,2023,"Estimated Actual","A","This appropriation is limited to maintaining, restoring and protecting ecosystems, habitats and species.",16,"Minister of Conservation"
"Department of Conservation","Conservation",7734,7734,"Management of Historic Heritage","Management of Historic Heritage","Single","Departmental Output Expenses",NA,"Environmental Protection",8494,2023,"Estimated Actual","A","This appropriation is limited to the protection and conservation management of historic heritage.",16,"Minister of Conservation"
"Department of Conservation","Conservation",7735,7735,"Management of Recreational Opportunities","Management of Recreational Opportunities","Single","Departmental Output Expenses",NA,"Environmental Protection",181003,2023,"Estimated Actual","A","This appropriation is limited to recreational facilities and services, and the management of business concessions.",16,"Minister of Conservation"
"Department of Conservation","Conservation",8925,8925,"Crown Contribution to Regional Pest Management","Crown Contribution to Regional Pest Management","Single","Departmental Output Expenses",NA,"Environmental Protection",2225,2023,"Estimated Actual","A","This appropriation is limited to delivery of services to control weed and animal pests on lands administered by the Department of Conservation to meet statutory good neighbour obligations and negotiated outcomes of regional pest management plans.",16,"Minister of Conservation"
"Department of Conservation","Conservation",13024,13024,"Search and Rescue Activities","Search and Rescue Activities","Single","Departmental Output Expenses","Permanent Legislative Authority","Core Government Services",714,2023,"Estimated Actual","A","This appropriation is limited to search and rescue activities and services as authorised under Section 9(1) of the Land Transport Management Act 2003.",16,"Minister of Conservation"
"Department of Conservation","Conservation",13565,13565,"Jobs for Nature","Jobs for Nature","Single","Departmental Output Expenses",NA,"Environmental Protection",85698,2023,"Estimated Actual","M","This appropriation is limited to nature-based employment opportunities.",16,"Minister of Conservation"
"Department of Conservation","Conservation",7733,7733,"Management of Natural Heritage","Management of Natural Heritage","Single","Departmental Output Expenses",NA,"Environmental Protection",323682,2024,"Main Estimates","A","This appropriation is limited to maintaining, restoring and protecting ecosystems, habitats and species.",16,"Minister of Conservation"
"Department of Conservation","Conservation",7734,7734,"Management of Historic Heritage","Management of Historic Heritage","Single","Departmental Output Expenses",NA,"Environmental Protection",9758,2024,"Main Estimates","A","This appropriation is limited to the protection and conservation management of historic heritage.",16,"Minister of Conservation"
"Department of Conservation","Conservation",7735,7735,"Management of Recreational Opportunities","Management of Recreational Opportunities","Single","Departmental Output Expenses",NA,"Environmental Protection",235758,2024,"Main Estimates","A","This appropriation is limited to recreational facilities and services, and the management of business concessions.",16,"Minister of Conservation"
"Department of Conservation","Conservation",8925,8925,"Crown Contribution to Regional Pest Management","Crown Contribution to Regional Pest Management","Single","Departmental Output Expenses",NA,"Environmental Protection",3241,2024,"Main Estimates","A","This appropriation is limited to delivery of services to control weed and animal pests on lands administered by the Department of Conservation to meet statutory good neighbour obligations and negotiated outcomes of regional pest management plans.",16,"Minister of Conservation"
"Department of Conservation","Conservation",13024,13024,"Search and Rescue Activities","Search and Rescue Activities","Single","Departmental Output Expenses","Permanent Legislative Authority","Core Government Services",480,2024,"Main Estimates","A","This appropriation is limited to search and rescue activities and services as authorised under Section 9(1) of the Land Transport Management Act 2003.",16,"Minister of Conservation"
"Department of Conservation","Conservation",13565,13565,"Jobs for Nature","Jobs for Nature","Single","Departmental Output Expenses",NA,"Environmental Protection",73238,2024,"Main Estimates","M","This appropriation is limited to nature-based employment opportunities.",16,"Minister of Conservation"
"Department of Conservation","Conservation",7736,7736,"Conservation with the Community","Conservation with the Community","Single","Departmental Output Expenses",NA,"Environmental Protection",39355,2019,"Actuals","A","This appropriation is limited to public awareness and educational services, and growing conservation through building partnerships with others, including iwi, councils, community groups, businesses, and individuals.",16,"Minister of Conservation"
"Department of Conservation","Conservation",7736,7736,"Conservation with the Community","Conservation with the Community","Single","Departmental Output Expenses",NA,"Environmental Protection",42472,2020,"Actuals","A","This appropriation is limited to public awareness and educational services, and growing conservation through building partnerships with others, including iwi, councils, community groups, businesses, and individuals.",16,"Minister of Conservation"
"Department of Conservation","Conservation",7736,7736,"Conservation with the Community","Conservation with the Community","Single","Departmental Output Expenses",NA,"Environmental Protection",41135,2021,"Actuals","A","This appropriation is limited to public awareness and educational services, and growing conservation through building partnerships with others, including iwi, councils, community groups, businesses, and individuals.",16,"Minister of Conservation"
"Department of Conservation","Conservation",7736,7736,"Conservation with the Community","Conservation with the Community","Single","Departmental Output Expenses",NA,"Environmental Protection",39956,2022,"Actuals","A","This appropriation is limited to public awareness and educational services, and growing conservation through building partnerships with others, including iwi, councils, community groups, businesses, and individuals.",16,"Minister of Conservation"
"Department of Conservation","Conservation",7736,7736,"Conservation with the Community","Conservation with the Community","Single","Departmental Output Expenses",NA,"Environmental Protection",38344,2023,"Estimated Actual","A","This appropriation is limited to public awareness and educational services, and growing conservation through building partnerships with others, including iwi, councils, community groups, businesses, and individuals.",16,"Minister of Conservation"
"Department of Conservation","Conservation",7736,7736,"Conservation with the Community","Conservation with the Community","Single","Departmental Output Expenses",NA,"Environmental Protection",46616,2024,"Main Estimates","A","This appropriation is limited to public awareness and educational services, and growing conservation through building partnerships with others, including iwi, councils, community groups, businesses, and individuals.",16,"Minister of Conservation"
"Department of Conservation","Conservation",7849,7849,"Loss on Departmental Property, Plant and Equipment Transfers to Other Entities","Loss on Departmental Property, Plant and Equipment Transfers to Other Entities","Single","Departmental Other Expenses",NA,"Environmental Protection",1419,2019,"Actuals","A","This appropriation is limited to losses incurred on the transfer of Departmental property, plant and equipment to other entities.",16,"Minister of Conservation"
"Department of Conservation","Conservation",138,138,"Management Services - Natural and Historic Places","Management Services - Natural and Historic Places","Single","Non-Departmental Output Expenses",NA,"Environmental Protection",865,2019,"Actuals","A","This appropriation is limited to management services for properties with historical or natural significance, including maintenance work, access for the public and management advice on covenanted properties.",16,"Minister of Conservation"
"Department of Conservation","Conservation",7739,7739,"Moutoa Gardens/Pākaitore","Moutoa Gardens/Pākaitore","Single","Non-Departmental Output Expenses",NA,"Environmental Protection",23,2019,"Actuals","A","This appropriation is limited to the ongoing management and maintenance of the Moutoa Gardens Reserve.",16,"Minister of Conservation"
"Department of Conservation","Conservation",8888,8888,"Stewart Island Infrastructure","Stewart Island Infrastructure","Single","Non-Departmental Output Expenses",NA,"Environmental Protection",292,2019,"Actuals","A","This appropriation is limited to assistance to the Southland District Council for additional community infrastructure arising from increased visitor numbers on Stewart Island.",16,"Minister of Conservation"
"Department of Conservation","Conservation",138,138,"Management Services - Natural and Historic Places","Management Services - Natural and Historic Places","Single","Non-Departmental Output Expenses",NA,"Environmental Protection",871,2020,"Actuals","A","This appropriation is limited to management services for properties with historical or natural significance, including maintenance work, access for the public and management advice on covenanted properties.",16,"Minister of Conservation"
"Department of Conservation","Conservation",7739,7739,"Moutoa Gardens/Pākaitore","Moutoa Gardens/Pākaitore","Single","Non-Departmental Output Expenses",NA,"Environmental Protection",33,2020,"Actuals","A","This appropriation is limited to the ongoing management and maintenance of the Moutoa Gardens Reserve.",16,"Minister of Conservation"
"Department of Conservation","Conservation",138,138,"Management Services - Natural and Historic Places","Management Services - Natural and Historic Places","Single","Non-Departmental Output Expenses",NA,"Environmental Protection",905,2021,"Actuals","A","This appropriation is limited to management services for properties with historical or natural significance, including maintenance work, access for the public and management advice on covenanted properties.",16,"Minister of Conservation"
"Department of Conservation","Conservation",7739,7739,"Moutoa Gardens/Pākaitore","Moutoa Gardens/Pākaitore","Single","Non-Departmental Output Expenses",NA,"Environmental Protection",38,2021,"Actuals","A","This appropriation is limited to the ongoing management and maintenance of the Moutoa Gardens Reserve.",16,"Minister of Conservation"
"Department of Conservation","Conservation",12768,12768,"Predator Free New Zealand","Predator Free New Zealand","Single","Non-Departmental Output Expenses",NA,"Environmental Protection",22343,2021,"Actuals","M","This appropriation is limited to contributions towards activities aimed at controlling and eradicating mammalian pests in New Zealand by 2050.",16,"Minister of Conservation"
"Department of Conservation","Conservation",138,138,"Management Services - Natural and Historic Places","Management Services - Natural and Historic Places","Single","Non-Departmental Output Expenses",NA,"Environmental Protection",936,2022,"Actuals","A","This appropriation is limited to management services for properties with historical or natural significance, including maintenance work, access for the public and management advice on covenanted properties.",16,"Minister of Conservation"
"Department of Conservation","Conservation",7739,7739,"Moutoa Gardens/Pākaitore","Moutoa Gardens/Pākaitore","Single","Non-Departmental Output Expenses",NA,"Environmental Protection",38,2022,"Actuals","A","This appropriation is limited to the ongoing management and maintenance of the Moutoa Gardens Reserve.",16,"Minister of Conservation"
"Department of Conservation","Conservation",12768,12768,"Predator Free New Zealand","Predator Free New Zealand","Single","Non-Departmental Output Expenses",NA,"Environmental Protection",23703,2022,"Actuals","M","This appropriation is limited to contributions towards activities aimed at controlling and eradicating mammalian pests in New Zealand by 2050.",16,"Minister of Conservation"
"Department of Conservation","Conservation",7739,7739,"Moutoa Gardens/Pākaitore","Moutoa Gardens/Pākaitore","Single","Non-Departmental Output Expenses",NA,"Environmental Protection",38,2023,"Estimated Actual","A","This appropriation is limited to the ongoing management and maintenance of the Moutoa Gardens Reserve.",16,"Minister of Conservation"
"Department of Conservation","Conservation",12768,12768,"Predator Free New Zealand","Predator Free New Zealand","Single","Non-Departmental Output Expenses",NA,"Environmental Protection",22433,2023,"Estimated Actual","M","This appropriation is limited to contributions towards activities aimed at controlling and eradicating mammalian pests in New Zealand by 2050.",16,"Minister of Conservation"
"Department of Conservation","Conservation",13564,13564,"Jobs for Nature","Jobs for Nature","Single","Non-Departmental Output Expenses",NA,"Environmental Protection",31491,2023,"Estimated Actual","M","This appropriation is limited to delivering nature-based employment opportunities.",16,"Minister of Conservation"
