"Department","Vote","App ID","Parent ID","Appropriation Name","Category Name","Group Type","IsMCA","Appropriation Type","Restriction Type","Functional Classification","Amount ($000)","Year","Amount Type","Periodicity","Current Scope"
"Controller and Auditor-General","Audit",9314,9314,"Audit and Assurance Services","Audit and Assurance Services","Single","No","Departmental Output Expenses",NA,"Core Government Services",150,2010,"Actuals","A","This appropriation is limited to the performance of audit and related assurance services as required or authorised by statute for smaller entities such as cemetery trusts and reserve boards."
"Controller and Auditor-General","Audit",9314,9314,"Audit and Assurance Services","Audit and Assurance Services","Single","No","Departmental Output Expenses",NA,"Core Government Services",150,2011,"Actuals","A","This appropriation is limited to the performance of audit and related assurance services as required or authorised by statute for smaller entities such as cemetery trusts and reserve boards."
"Controller and Auditor-General","Audit",9314,9314,"Audit and Assurance Services","Audit and Assurance Services","Single","No","Departmental Output Expenses",NA,"Core Government Services",150,2012,"Actuals","A","This appropriation is limited to the performance of audit and related assurance services as required or authorised by statute for smaller entities such as cemetery trusts and reserve boards."
"Controller and Auditor-General","Audit",9314,9314,"Audit and Assurance Services","Audit and Assurance Services","Single","No","Departmental Output Expenses",NA,"Core Government Services",150,2013,"Actuals","A","This appropriation is limited to the performance of audit and related assurance services as required or authorised by statute for smaller entities such as cemetery trusts and reserve boards."
"Controller and Auditor-General","Audit",9314,9314,"Audit and Assurance Services","Audit and Assurance Services","Single","No","Departmental Output Expenses",NA,"Core Government Services",150,2014,"Estimated Actual","A","This appropriation is limited to the performance of audit and related assurance services as required or authorised by statute for smaller entities such as cemetery trusts and reserve boards."
"Controller and Auditor-General","Audit",9314,9314,"Audit and Assurance Services","Audit and Assurance Services","Single","No","Departmental Output Expenses",NA,"Core Government Services",150,2015,"Main Estimates","A","This appropriation is limited to the performance of audit and related assurance services as required or authorised by statute for smaller entities such as cemetery trusts and reserve boards."
"Controller and Auditor-General","Audit",8783,8783,"Audit and Assurance Services","Audit and Assurance Services","Single","No","Departmental Output Expenses","Revenue Dependent","Core Government Services",62587,2010,"Actuals","A","This appropriation is limited to audit and related assurance services as required or authorised by statute."
"Controller and Auditor-General","Audit",8783,8783,"Audit and Assurance Services","Audit and Assurance Services","Single","No","Departmental Output Expenses","Revenue Dependent","Core Government Services",64893,2011,"Actuals","A","This appropriation is limited to audit and related assurance services as required or authorised by statute."
"Controller and Auditor-General","Audit",8783,8783,"Audit and Assurance Services","Audit and Assurance Services","Single","No","Departmental Output Expenses","Revenue Dependent","Core Government Services",70578,2012,"Actuals","A","This appropriation is limited to audit and related assurance services as required or authorised by statute."
"Controller and Auditor-General","Audit",8783,8783,"Audit and Assurance Services","Audit and Assurance Services","Single","No","Departmental Output Expenses","Revenue Dependent","Core Government Services",69298,2013,"Actuals","A","This appropriation is limited to audit and related assurance services as required or authorised by statute."
"Controller and Auditor-General","Audit",8783,8783,"Audit and Assurance Services","Audit and Assurance Services","Single","No","Departmental Output Expenses","Revenue Dependent","Core Government Services",71042,2014,"Estimated Actual","A","This appropriation is limited to audit and related assurance services as required or authorised by statute."
"Controller and Auditor-General","Audit",8783,8783,"Audit and Assurance Services","Audit and Assurance Services","Single","No","Departmental Output Expenses","Revenue Dependent","Core Government Services",75390,2015,"Main Estimates","A","This appropriation is limited to audit and related assurance services as required or authorised by statute."
"Controller and Auditor-General","Audit",9363,9363,"Remuneration of Auditor-General and Deputy Auditor-General","Remuneration of Auditor-General and Deputy Auditor-General","Single","No","Departmental Other Expenses","Permanent Legislative Authority","Core Government Services",662,2010,"Actuals","A","This appropriation is limited to remuneration expenses for both the Auditor-General and the Deputy Auditor-General as authorised by clause 5 of the Third Schedule of the Public Audit Act 2001."
"Controller and Auditor-General","Audit",9363,9363,"Remuneration of Auditor-General and Deputy Auditor-General","Remuneration of Auditor-General and Deputy Auditor-General","Single","No","Departmental Other Expenses","Permanent Legislative Authority","Core Government Services",803,2011,"Actuals","A","This appropriation is limited to remuneration expenses for both the Auditor-General and the Deputy Auditor-General as authorised by clause 5 of the Third Schedule of the Public Audit Act 2001."
"Controller and Auditor-General","Audit",9363,9363,"Remuneration of Auditor-General and Deputy Auditor-General","Remuneration of Auditor-General and Deputy Auditor-General","Single","No","Departmental Other Expenses","Permanent Legislative Authority","Core Government Services",848,2012,"Actuals","A","This appropriation is limited to remuneration expenses for both the Auditor-General and the Deputy Auditor-General as authorised by clause 5 of the Third Schedule of the Public Audit Act 2001."
"Controller and Auditor-General","Audit",9363,9363,"Remuneration of Auditor-General and Deputy Auditor-General","Remuneration of Auditor-General and Deputy Auditor-General","Single","No","Departmental Other Expenses","Permanent Legislative Authority","Core Government Services",883,2013,"Actuals","A","This appropriation is limited to remuneration expenses for both the Auditor-General and the Deputy Auditor-General as authorised by clause 5 of the Third Schedule of the Public Audit Act 2001."
"Controller and Auditor-General","Audit",9363,9363,"Remuneration of Auditor-General and Deputy Auditor-General","Remuneration of Auditor-General and Deputy Auditor-General","Single","No","Departmental Other Expenses","Permanent Legislative Authority","Core Government Services",923,2014,"Estimated Actual","A","This appropriation is limited to remuneration expenses for both the Auditor-General and the Deputy Auditor-General as authorised by clause 5 of the Third Schedule of the Public Audit Act 2001."
"Controller and Auditor-General","Audit",9363,9363,"Remuneration of Auditor-General and Deputy Auditor-General","Remuneration of Auditor-General and Deputy Auditor-General","Single","No","Departmental Other Expenses","Permanent Legislative Authority","Core Government Services",923,2015,"Main Estimates","A","This appropriation is limited to remuneration expenses for both the Auditor-General and the Deputy Auditor-General as authorised by clause 5 of the Third Schedule of the Public Audit Act 2001."
"Controller and Auditor-General","Audit",9202,9202,"Controller and Auditor-General - Capital Expenditure","Controller and Auditor-General - Capital Expenditure","Single","No","Departmental Capital Expenditure","Permanent Legislative Authority","No Functional Classification",922,2010,"Actuals","A","This appropriation is limited to the purchase or development of assets by and for the use of the Controller and Auditor-General, as authorised by section 24(1) of the Public Finance Act 1989."
"Controller and Auditor-General","Audit",9202,9202,"Controller and Auditor-General - Capital Expenditure","Controller and Auditor-General - Capital Expenditure","Single","No","Departmental Capital Expenditure","Permanent Legislative Authority","No Functional Classification",852,2011,"Actuals","A","This appropriation is limited to the purchase or development of assets by and for the use of the Controller and Auditor-General, as authorised by section 24(1) of the Public Finance Act 1989."
"Controller and Auditor-General","Audit",9202,9202,"Controller and Auditor-General - Capital Expenditure","Controller and Auditor-General - Capital Expenditure","Single","No","Departmental Capital Expenditure","Permanent Legislative Authority","No Functional Classification",1154,2012,"Actuals","A","This appropriation is limited to the purchase or development of assets by and for the use of the Controller and Auditor-General, as authorised by section 24(1) of the Public Finance Act 1989."
"Controller and Auditor-General","Audit",9202,9202,"Controller and Auditor-General - Capital Expenditure","Controller and Auditor-General - Capital Expenditure","Single","No","Departmental Capital Expenditure","Permanent Legislative Authority","No Functional Classification",3801,2013,"Actuals","A","This appropriation is limited to the purchase or development of assets by and for the use of the Controller and Auditor-General, as authorised by section 24(1) of the Public Finance Act 1989."
"Controller and Auditor-General","Audit",9202,9202,"Controller and Auditor-General - Capital Expenditure","Controller and Auditor-General - Capital Expenditure","Single","No","Departmental Capital Expenditure","Permanent Legislative Authority","No Functional Classification",1319,2014,"Estimated Actual","A","This appropriation is limited to the purchase or development of assets by and for the use of the Controller and Auditor-General, as authorised by section 24(1) of the Public Finance Act 1989."
"Controller and Auditor-General","Audit",9202,9202,"Controller and Auditor-General - Capital Expenditure","Controller and Auditor-General - Capital Expenditure","Single","No","Departmental Capital Expenditure","Permanent Legislative Authority","No Functional Classification",907,2015,"Main Estimates","A","This appropriation is limited to the purchase or development of assets by and for the use of the Controller and Auditor-General, as authorised by section 24(1) of the Public Finance Act 1989."
"Controller and Auditor-General","Audit",11131,11066,"Statutory Auditor Function","Supporting Accountability to Parliament","MCA","Yes","Departmental Output Expenses",NA,"Core Government Services",2720,2015,"Main Estimates","A","This category is limited to reporting to Parliament and others as appropriate on matters arising from audits and inquiries, reporting to and advising select committees, and advising other agencies in New Zealand and abroad to support Parliament and governing bodies in holding their executives to account for the use of public resources."
"Controller and Auditor-General","Audit",11134,11066,"Statutory Auditor Function","Performance Audits and Inquiries","MCA","Yes","Departmental Output Expenses",NA,"Core Government Services",6587,2015,"Main Estimates","A","This category is limited to undertaking and reporting on performance audits and inquiries relating to public entities under the Public Audit Act 2001 and responding to requests for approvals in relation to pecuniary interest questions regulated by the Local Authorities Members’ Interests Act 1968."
"Department of Conservation","Conservation",7733,7733,"Management of Natural Heritage","Management of Natural Heritage","Single","No","Departmental Output Expenses",NA,"Environmental Protection",153736,2010,"Actuals","A","This appropriation is limited to maintaining, restoring and protecting ecosystems, habitats and species."
"Department of Conservation","Conservation",7733,7733,"Management of Natural Heritage","Management of Natural Heritage","Single","No","Departmental Output Expenses",NA,"Environmental Protection",154753,2011,"Actuals","A","This appropriation is limited to maintaining, restoring and protecting ecosystems, habitats and species."
"Department of Conservation","Conservation",7733,7733,"Management of Natural Heritage","Management of Natural Heritage","Single","No","Departmental Output Expenses",NA,"Environmental Protection",154775,2012,"Actuals","A","This appropriation is limited to maintaining, restoring and protecting ecosystems, habitats and species."
"Department of Conservation","Conservation",7733,7733,"Management of Natural Heritage","Management of Natural Heritage","Single","No","Departmental Output Expenses",NA,"Environmental Protection",154354,2013,"Actuals","A","This appropriation is limited to maintaining, restoring and protecting ecosystems, habitats and species."
"Department of Conservation","Conservation",7733,7733,"Management of Natural Heritage","Management of Natural Heritage","Single","No","Departmental Output Expenses",NA,"Environmental Protection",161565,2014,"Estimated Actual","A","This appropriation is limited to maintaining, restoring and protecting ecosystems, habitats and species."
"Department of Conservation","Conservation",7733,7733,"Management of Natural Heritage","Management of Natural Heritage","Single","No","Departmental Output Expenses",NA,"Environmental Protection",160303,2015,"Main Estimates","A","This appropriation is limited to maintaining, restoring and protecting ecosystems, habitats and species."
"Department of Conservation","Conservation",7734,7734,"Management of Historic Heritage","Management of Historic Heritage","Single","No","Departmental Output Expenses",NA,"Environmental Protection",5360,2010,"Actuals","A","This appropriation is limited to the protection and conservation management of historic heritage."
"Department of Conservation","Conservation",7734,7734,"Management of Historic Heritage","Management of Historic Heritage","Single","No","Departmental Output Expenses",NA,"Environmental Protection",5498,2011,"Actuals","A","This appropriation is limited to the protection and conservation management of historic heritage."
"Department of Conservation","Conservation",7734,7734,"Management of Historic Heritage","Management of Historic Heritage","Single","No","Departmental Output Expenses",NA,"Environmental Protection",5188,2012,"Actuals","A","This appropriation is limited to the protection and conservation management of historic heritage."
"Department of Conservation","Conservation",7734,7734,"Management of Historic Heritage","Management of Historic Heritage","Single","No","Departmental Output Expenses",NA,"Environmental Protection",4717,2013,"Actuals","A","This appropriation is limited to the protection and conservation management of historic heritage."
"Department of Conservation","Conservation",7734,7734,"Management of Historic Heritage","Management of Historic Heritage","Single","No","Departmental Output Expenses",NA,"Environmental Protection",5115,2014,"Estimated Actual","A","This appropriation is limited to the protection and conservation management of historic heritage."
"Department of Conservation","Conservation",7734,7734,"Management of Historic Heritage","Management of Historic Heritage","Single","No","Departmental Output Expenses",NA,"Environmental Protection",5996,2015,"Main Estimates","A","This appropriation is limited to the protection and conservation management of historic heritage."
"Department of Conservation","Conservation",7735,7735,"Management of Recreational Opportunities","Management of Recreational Opportunities","Single","No","Departmental Output Expenses",NA,"Environmental Protection",123325,2010,"Actuals","A","This appropriation is limited to recreational facilities and services, and the management of business concessions."
"Department of Conservation","Conservation",7735,7735,"Management of Recreational Opportunities","Management of Recreational Opportunities","Single","No","Departmental Output Expenses",NA,"Environmental Protection",131716,2011,"Actuals","A","This appropriation is limited to recreational facilities and services, and the management of business concessions."
"Department of Conservation","Conservation",7735,7735,"Management of Recreational Opportunities","Management of Recreational Opportunities","Single","No","Departmental Output Expenses",NA,"Environmental Protection",139454,2012,"Actuals","A","This appropriation is limited to recreational facilities and services, and the management of business concessions."
"Department of Conservation","Conservation",7735,7735,"Management of Recreational Opportunities","Management of Recreational Opportunities","Single","No","Departmental Output Expenses",NA,"Environmental Protection",137950,2013,"Actuals","A","This appropriation is limited to recreational facilities and services, and the management of business concessions."
"Department of Conservation","Conservation",7735,7735,"Management of Recreational Opportunities","Management of Recreational Opportunities","Single","No","Departmental Output Expenses",NA,"Environmental Protection",146409,2014,"Estimated Actual","A","This appropriation is limited to recreational facilities and services, and the management of business concessions."
"Department of Conservation","Conservation",7735,7735,"Management of Recreational Opportunities","Management of Recreational Opportunities","Single","No","Departmental Output Expenses",NA,"Environmental Protection",144993,2015,"Main Estimates","A","This appropriation is limited to recreational facilities and services, and the management of business concessions."
"Department of Conservation","Conservation",7736,7736,"Conservation with the Community","Conservation with the Community","Single","No","Departmental Output Expenses",NA,"Environmental Protection",14810,2010,"Actuals","A","This appropriation is limited to public awareness and educational services, and growing conservation through building partnerships with others, including iwi, councils, community groups, businesses, and individuals."
"Department of Conservation","Conservation",7736,7736,"Conservation with the Community","Conservation with the Community","Single","No","Departmental Output Expenses",NA,"Environmental Protection",15845,2011,"Actuals","A","This appropriation is limited to public awareness and educational services, and growing conservation through building partnerships with others, including iwi, councils, community groups, businesses, and individuals."
"Department of Conservation","Conservation",7736,7736,"Conservation with the Community","Conservation with the Community","Single","No","Departmental Output Expenses",NA,"Environmental Protection",16016,2012,"Actuals","A","This appropriation is limited to public awareness and educational services, and growing conservation through building partnerships with others, including iwi, councils, community groups, businesses, and individuals."
"Department of Conservation","Conservation",7736,7736,"Conservation with the Community","Conservation with the Community","Single","No","Departmental Output Expenses",NA,"Environmental Protection",21222,2013,"Actuals","A","This appropriation is limited to public awareness and educational services, and growing conservation through building partnerships with others, including iwi, councils, community groups, businesses, and individuals."
"Department of Conservation","Conservation",7736,7736,"Conservation with the Community","Conservation with the Community","Single","No","Departmental Output Expenses",NA,"Environmental Protection",24450,2014,"Estimated Actual","A","This appropriation is limited to public awareness and educational services, and growing conservation through building partnerships with others, including iwi, councils, community groups, businesses, and individuals."
"Department of Conservation","Conservation",7736,7736,"Conservation with the Community","Conservation with the Community","Single","No","Departmental Output Expenses",NA,"Environmental Protection",24346,2015,"Main Estimates","A","This appropriation is limited to public awareness and educational services, and growing conservation through building partnerships with others, including iwi, councils, community groups, businesses, and individuals."
"Department of Conservation","Conservation",7737,7737,"Policy Advice, Servicing the Minister and Statutory Bodies, and Statutory Planning","Policy Advice, Servicing the Minister and Statutory Bodies, and Statutory Planning","Single","No","Departmental Output Expenses",NA,"Environmental Protection",4859,2010,"Actuals","A","This appropriation is limited to policy advice, services to the Minister of Conservation and statutory bodies, and provision of statutory planning."
"Department of Conservation","Conservation",7737,7737,"Policy Advice, Servicing the Minister and Statutory Bodies, and Statutory Planning","Policy Advice, Servicing the Minister and Statutory Bodies, and Statutory Planning","Single","No","Departmental Output Expenses",NA,"Environmental Protection",4679,2011,"Actuals","A","This appropriation is limited to policy advice, services to the Minister of Conservation and statutory bodies, and provision of statutory planning."
"Department of Conservation","Conservation",7737,7737,"Policy Advice, Servicing the Minister and Statutory Bodies, and Statutory Planning","Policy Advice, Servicing the Minister and Statutory Bodies, and Statutory Planning","Single","No","Departmental Output Expenses",NA,"Environmental Protection",5184,2012,"Actuals","A","This appropriation is limited to policy advice, services to the Minister of Conservation and statutory bodies, and provision of statutory planning."
"Department of Conservation","Conservation",8616,8616,"Recreational Opportunities Review","Recreational Opportunities Review","Single","No","Departmental Output Expenses",NA,"Environmental Protection",278,2010,"Actuals","A","This appropriation is limited to the depreciation and write-off of visitor assets to be decommissioned following the review of recreational opportunities."
"Department of Conservation","Conservation",8616,8616,"Recreational Opportunities Review","Recreational Opportunities Review","Single","No","Departmental Output Expenses",NA,"Environmental Protection",272,2011,"Actuals","A","This appropriation is limited to the depreciation and write-off of visitor assets to be decommissioned following the review of recreational opportunities."
"Department of Conservation","Conservation",8925,8925,"Crown Contribution to Regional Pest Management","Crown Contribution to Regional Pest Management","Single","No","Departmental Output Expenses",NA,"Environmental Protection",2949,2010,"Actuals","A","This appropriation is limited to delivery of services to control weed and animal pests on lands administered by the Department of Conservation to meet statutory good neighbour obligations and negotiated outcomes of regional pest management plans."
"Department of Conservation","Conservation",8925,8925,"Crown Contribution to Regional Pest Management","Crown Contribution to Regional Pest Management","Single","No","Departmental Output Expenses",NA,"Environmental Protection",2866,2011,"Actuals","A","This appropriation is limited to delivery of services to control weed and animal pests on lands administered by the Department of Conservation to meet statutory good neighbour obligations and negotiated outcomes of regional pest management plans."
"Department of Conservation","Conservation",8925,8925,"Crown Contribution to Regional Pest Management","Crown Contribution to Regional Pest Management","Single","No","Departmental Output Expenses",NA,"Environmental Protection",2703,2012,"Actuals","A","This appropriation is limited to delivery of services to control weed and animal pests on lands administered by the Department of Conservation to meet statutory good neighbour obligations and negotiated outcomes of regional pest management plans."
"Department of Conservation","Conservation",8925,8925,"Crown Contribution to Regional Pest Management","Crown Contribution to Regional Pest Management","Single","No","Departmental Output Expenses",NA,"Environmental Protection",3160,2013,"Actuals","A","This appropriation is limited to delivery of services to control weed and animal pests on lands administered by the Department of Conservation to meet statutory good neighbour obligations and negotiated outcomes of regional pest management plans."
"Department of Conservation","Conservation",8925,8925,"Crown Contribution to Regional Pest Management","Crown Contribution to Regional Pest Management","Single","No","Departmental Output Expenses",NA,"Environmental Protection",3509,2014,"Estimated Actual","A","This appropriation is limited to delivery of services to control weed and animal pests on lands administered by the Department of Conservation to meet statutory good neighbour obligations and negotiated outcomes of regional pest management plans."
"Department of Conservation","Conservation",8925,8925,"Crown Contribution to Regional Pest Management","Crown Contribution to Regional Pest Management","Single","No","Departmental Output Expenses",NA,"Environmental Protection",3292,2015,"Main Estimates","A","This appropriation is limited to delivery of services to control weed and animal pests on lands administered by the Department of Conservation to meet statutory good neighbour obligations and negotiated outcomes of regional pest management plans."
"Department of Conservation","Conservation",10360,10358,"Policy Advice, Statutory Planning, and Services to Ministers and Statutory Bodies","Statutory Planning, Services to Ministers and Statutory Bodies","MCOA","No","Departmental Output Expenses",NA,"Environmental Protection",2682,2013,"Actuals","A","This output class is limited to statutory planning and the provision of services to Ministers (other than policy decision making responsibilities) and statutory bodies to enable them to discharge their portfolio and responsibilities."
"Department of Conservation","Conservation",10359,10358,"Policy Advice, Statutory Planning, and Services to Ministers and Statutory Bodies","Policy Advice","MCOA","No","Departmental Output Expenses",NA,"Environmental Protection",1136,2013,"Actuals","A","This output class is limited to the provision of advice (including second opinion advice and contributions to policy advice led by other agencies) to support decision-making by Ministers on government policy matters relating to conservation."
"Department of Conservation","Conservation",10360,10358,"Policy Advice, Statutory Planning, and Services to Ministers and Statutory Bodies","Statutory Planning, Services to Ministers and Statutory Bodies","MCOA","No","Departmental Output Expenses",NA,"Environmental Protection",3200,2014,"Estimated Actual","A","This output class is limited to statutory planning and the provision of services to Ministers (other than policy decision making responsibilities) and statutory bodies to enable them to discharge their portfolio and responsibilities."
"Department of Conservation","Conservation",10359,10358,"Policy Advice, Statutory Planning, and Services to Ministers and Statutory Bodies","Policy Advice","MCOA","No","Departmental Output Expenses",NA,"Environmental Protection",2748,2014,"Estimated Actual","A","This output class is limited to the provision of advice (including second opinion advice and contributions to policy advice led by other agencies) to support decision-making by Ministers on government policy matters relating to conservation."
"Department of Conservation","Conservation",7855,7855,"Recovery from February 2011 Christchurch Earthquake","Recovery from February 2011 Christchurch Earthquake","Single","No","Departmental Other Expenses",NA,"Environmental Protection",1132,2011,"Actuals","A","This appropriation is limited to writing off, or making good damage to, departmental assets and re-establishing departmental operations in Christchurch following the 22 February 2011 earthquake."
"Department of Conservation","Conservation",7855,7855,"Recovery from February 2011 Christchurch Earthquake","Recovery from February 2011 Christchurch Earthquake","Single","No","Departmental Other Expenses",NA,"Environmental Protection",368,2014,"Estimated Actual","A","This appropriation is limited to writing off, or making good damage to, departmental assets and re-establishing departmental operations in Christchurch following the 22 February 2011 earthquake."
"Department of Conservation","Conservation",137,137,"Identification and Implementation of Protection for Natural and Historic Places","Identification and Implementation of Protection for Natural and Historic Places","Single","No","Non-Departmental Output Expenses",NA,"Environmental Protection",10258,2010,"Actuals","A","This appropriation is limited to identification and implementation of protection for natural and historic places."
"Department of Conservation","Conservation",137,137,"Identification and Implementation of Protection for Natural and Historic Places","Identification and Implementation of Protection for Natural and Historic Places","Single","No","Non-Departmental Output Expenses",NA,"Environmental Protection",7046,2011,"Actuals","A","This appropriation is limited to identification and implementation of protection for natural and historic places."
"Department of Conservation","Conservation",137,137,"Identification and Implementation of Protection for Natural and Historic Places","Identification and Implementation of Protection for Natural and Historic Places","Single","No","Non-Departmental Output Expenses",NA,"Environmental Protection",7718,2012,"Actuals","A","This appropriation is limited to identification and implementation of protection for natural and historic places."
"Department of Conservation","Conservation",138,138,"Management Services - Natural and Historic Places","Management Services - Natural and Historic Places","Single","No","Non-Departmental Output Expenses",NA,"Environmental Protection",1450,2010,"Actuals","A","This appropriation is limited to management services for properties with historical or natural significance, including maintenance work, access for the public and management advice on covenanted properties."
"Department of Conservation","Conservation",138,138,"Management Services - Natural and Historic Places","Management Services - Natural and Historic Places","Single","No","Non-Departmental Output Expenses",NA,"Environmental Protection",1489,2011,"Actuals","A","This appropriation is limited to management services for properties with historical or natural significance, including maintenance work, access for the public and management advice on covenanted properties."
"Department of Conservation","Conservation",138,138,"Management Services - Natural and Historic Places","Management Services - Natural and Historic Places","Single","No","Non-Departmental Output Expenses",NA,"Environmental Protection",1462,2012,"Actuals","A","This appropriation is limited to management services for properties with historical or natural significance, including maintenance work, access for the public and management advice on covenanted properties."
"Department of Conservation","Conservation",138,138,"Management Services - Natural and Historic Places","Management Services - Natural and Historic Places","Single","No","Non-Departmental Output Expenses",NA,"Environmental Protection",1557,2013,"Actuals","A","This appropriation is limited to management services for properties with historical or natural significance, including maintenance work, access for the public and management advice on covenanted properties."
"Department of Conservation","Conservation",138,138,"Management Services - Natural and Historic Places","Management Services - Natural and Historic Places","Single","No","Non-Departmental Output Expenses",NA,"Environmental Protection",1417,2014,"Estimated Actual","A","This appropriation is limited to management services for properties with historical or natural significance, including maintenance work, access for the public and management advice on covenanted properties."
"Department of Conservation","Conservation",138,138,"Management Services - Natural and Historic Places","Management Services - Natural and Historic Places","Single","No","Non-Departmental Output Expenses",NA,"Environmental Protection",1932,2015,"Main Estimates","A","This appropriation is limited to management services for properties with historical or natural significance, including maintenance work, access for the public and management advice on covenanted properties."
"Department of Conservation","Conservation",7738,7738,"Community Conservation Partnerships Fund","Community Conservation Partnerships Fund","Single","No","Non-Departmental Output Expenses",NA,"Environmental Protection",4246,2010,"Actuals","A","This appropriation is limited to grants: for community groups and private landowners to undertake work on public and private land; to provide private land managers with information and advice, or assistance with pest and weed control, fencing and other biodiversity management actions; and to support community biodiversity restoration initiatives."
"Department of Conservation","Conservation",7738,7738,"Community Conservation Partnerships Fund","Community Conservation Partnerships Fund","Single","No","Non-Departmental Output Expenses",NA,"Environmental Protection",4848,2011,"Actuals","A","This appropriation is limited to grants: for community groups and private landowners to undertake work on public and private land; to provide private land managers with information and advice, or assistance with pest and weed control, fencing and other biodiversity management actions; and to support community biodiversity restoration initiatives."
"Department of Conservation","Conservation",7738,7738,"Community Conservation Partnerships Fund","Community Conservation Partnerships Fund","Single","No","Non-Departmental Output Expenses",NA,"Environmental Protection",3149,2012,"Actuals","A","This appropriation is limited to grants: for community groups and private landowners to undertake work on public and private land; to provide private land managers with information and advice, or assistance with pest and weed control, fencing and other biodiversity management actions; and to support community biodiversity restoration initiatives."
"Department of Conservation","Conservation",7738,7738,"Community Conservation Partnerships Fund","Community Conservation Partnerships Fund","Single","No","Non-Departmental Output Expenses",NA,"Environmental Protection",2939,2013,"Actuals","A","This appropriation is limited to grants: for community groups and private landowners to undertake work on public and private land; to provide private land managers with information and advice, or assistance with pest and weed control, fencing and other biodiversity management actions; and to support community biodiversity restoration initiatives."
