"Department","Vote","App id","MCOA id","Description","Appropriation Type","Output Expense Type","Functional Classification","Amount ($000)","Year","Amount_Type_Desc","Periodicity"
"Controller and Auditor-General","Audit",9202,9202,"Controller and Auditor-General - Capital Expenditure","Departmental Capital Expenditure","Permanent Legislative Authority","No Functional Classification",1511,2009,"Actuals","A"
"Controller and Auditor-General","Audit",9202,9202,"Controller and Auditor-General - Capital Expenditure","Departmental Capital Expenditure","Permanent Legislative Authority","No Functional Classification",922,2010,"Actuals","A"
"Controller and Auditor-General","Audit",9202,9202,"Controller and Auditor-General - Capital Expenditure","Departmental Capital Expenditure","Permanent Legislative Authority","No Functional Classification",1045,2011,"Estimated Actual","A"
"Controller and Auditor-General","Audit",9202,9202,"Controller and Auditor-General - Capital Expenditure","Departmental Capital Expenditure","Permanent Legislative Authority","No Functional Classification",1800,2012,"Main Estimates","A"
"Ministry of Economic Development","Commerce",52,52,"Administration of Part II Tariff Concessions","Departmental Output Expenses",NA,"Other Economic",347,2007,"Actuals","A"
"Ministry of Economic Development","Commerce",52,52,"Administration of Part II Tariff Concessions","Departmental Output Expenses",NA,"Other Economic",345,2008,"Actuals","A"
"Ministry of Economic Development","Commerce",52,52,"Administration of Part II Tariff Concessions","Departmental Output Expenses",NA,"Other Economic",351,2009,"Actuals","A"
"Ministry of Economic Development","Commerce",52,52,"Administration of Part II Tariff Concessions","Departmental Output Expenses",NA,"Other Economic",319,2010,"Actuals","A"
"Ministry of Economic Development","Commerce",52,52,"Administration of Part II Tariff Concessions","Departmental Output Expenses",NA,"Other Economic",351,2011,"Estimated Actual","A"
"Ministry of Economic Development","Commerce",52,52,"Administration of Part II Tariff Concessions","Departmental Output Expenses",NA,"Other Economic",352,2012,"Main Estimates","A"
"Ministry of Economic Development","Commerce",54,54,"Registration and Granting of Intellectual Property Rights","Departmental Output Expenses",NA,"Other Economic",11016,2007,"Actuals","A"
"Ministry of Economic Development","Commerce",54,54,"Registration and Granting of Intellectual Property Rights","Departmental Output Expenses",NA,"Other Economic",11523,2008,"Actuals","A"
"Ministry of Economic Development","Commerce",54,54,"Registration and Granting of Intellectual Property Rights","Departmental Output Expenses",NA,"Other Economic",13072,2009,"Actuals","A"
"Ministry of Economic Development","Commerce",54,54,"Registration and Granting of Intellectual Property Rights","Departmental Output Expenses",NA,"Other Economic",12623,2010,"Actuals","A"
"Ministry of Economic Development","Commerce",54,54,"Registration and Granting of Intellectual Property Rights","Departmental Output Expenses",NA,"Other Economic",13540,2011,"Estimated Actual","A"
"Ministry of Economic Development","Commerce",54,54,"Registration and Granting of Intellectual Property Rights","Departmental Output Expenses",NA,"Other Economic",14900,2012,"Main Estimates","A"
"Ministry of Economic Development","Commerce",3280,3280,"Administration of Insolvencies","Departmental Output Expenses",NA,"Law & Order",10651,2007,"Actuals","A"
"Ministry of Economic Development","Commerce",3280,3280,"Administration of Insolvencies","Departmental Output Expenses",NA,"Law & Order",12420,2008,"Actuals","A"
"Ministry of Economic Development","Commerce",3280,3280,"Administration of Insolvencies","Departmental Output Expenses",NA,"Law & Order",13568,2009,"Actuals","A"
"Ministry of Economic Development","Commerce",3280,3280,"Administration of Insolvencies","Departmental Output Expenses",NA,"Law & Order",14114,2010,"Actuals","A"
"Ministry of Economic Development","Commerce",3280,3280,"Administration of Insolvencies","Departmental Output Expenses",NA,"Law & Order",14072,2011,"Estimated Actual","A"
"Ministry of Economic Development","Commerce",3280,3280,"Administration of Insolvencies","Departmental Output Expenses",NA,"Law & Order",13450,2012,"Main Estimates","A"
"Ministry of Economic Development","Commerce",5287,5287,"Registration and Provision of Statutory Information","Departmental Output Expenses",NA,"Core Government Services",17603,2007,"Actuals","A"
"Ministry of Economic Development","Commerce",5287,5287,"Registration and Provision of Statutory Information","Departmental Output Expenses",NA,"Core Government Services",18804,2008,"Actuals","A"
"Ministry of Economic Development","Commerce",5287,5287,"Registration and Provision of Statutory Information","Departmental Output Expenses",NA,"Core Government Services",22856,2009,"Actuals","A"
"Ministry of Economic Development","Commerce",5287,5287,"Registration and Provision of Statutory Information","Departmental Output Expenses",NA,"Core Government Services",21317,2010,"Actuals","A"
"Ministry of Economic Development","Commerce",5287,5287,"Registration and Provision of Statutory Information","Departmental Output Expenses",NA,"Core Government Services",21805,2011,"Estimated Actual","A"
"Ministry of Economic Development","Commerce",5287,5287,"Registration and Provision of Statutory Information","Departmental Output Expenses",NA,"Core Government Services",23621,2012,"Main Estimates","A"
"Ministry of Economic Development","Commerce",8928,8930,"Policy and Purchase Advice - Business Law and Competition Policy","Departmental Output Expenses",NA,"Other Economic",11802,2007,"Actuals","A"
"Ministry of Economic Development","Commerce",8929,8930,"Administration of Trade Remedies","Departmental Output Expenses",NA,"Other Economic",1169,2007,"Actuals","A"
"Ministry of Economic Development","Commerce",8929,8930,"Administration of Trade Remedies","Departmental Output Expenses",NA,"Other Economic",957,2008,"Actuals","A"
"Ministry of Economic Development","Commerce",8928,8930,"Policy and Purchase Advice - Business Law and Competition Policy","Departmental Output Expenses",NA,"Other Economic",13719,2008,"Actuals","A"
"Ministry of Economic Development","Commerce",8928,8930,"Policy and Purchase Advice - Business Law and Competition Policy","Departmental Output Expenses",NA,"Other Economic",14653,2009,"Actuals","A"
"Ministry of Economic Development","Commerce",8929,8930,"Administration of Trade Remedies","Departmental Output Expenses",NA,"Other Economic",1096,2009,"Actuals","A"
"Ministry of Economic Development","Commerce",8929,8930,"Administration of Trade Remedies","Departmental Output Expenses",NA,"Other Economic",977,2010,"Actuals","A"
"Ministry of Economic Development","Commerce",8928,8930,"Policy and Purchase Advice - Business Law and Competition Policy","Departmental Output Expenses",NA,"Other Economic",12211,2010,"Actuals","A"
"Ministry of Economic Development","Commerce",8929,8930,"Administration of Trade Remedies","Departmental Output Expenses",NA,"Other Economic",1114,2011,"Estimated Actual","A"
"Ministry of Economic Development","Commerce",8928,8930,"Policy and Purchase Advice - Business Law and Competition Policy","Departmental Output Expenses",NA,"Other Economic",12317,2011,"Estimated Actual","A"
"Ministry of Economic Development","Commerce",8929,8930,"Administration of Trade Remedies","Departmental Output Expenses",NA,"Other Economic",1100,2012,"Main Estimates","A"
"Ministry of Economic Development","Commerce",8928,8930,"Policy and Purchase Advice - Business Law and Competition Policy","Departmental Output Expenses",NA,"Other Economic",10440,2012,"Main Estimates","A"
"Ministry of Economic Development","Commerce",1474,1474,"Performance of Securities Market Functions","Non-Departmental Output Expenses",NA,"Other Economic",6500,2007,"Actuals","A"
"Ministry of Economic Development","Commerce",1474,1474,"Performance of Securities Market Functions","Non-Departmental Output Expenses",NA,"Other Economic",6501,2008,"Actuals","A"
"Ministry of Economic Development","Commerce",1474,1474,"Performance of Securities Market Functions","Non-Departmental Output Expenses",NA,"Other Economic",7301,2009,"Actuals","A"
"Ministry of Economic Development","Commerce",1474,1474,"Performance of Securities Market Functions","Non-Departmental Output Expenses",NA,"Other Economic",10421,2010,"Actuals","A"
"Ministry of Economic Development","Commerce",1474,1474,"Performance of Securities Market Functions","Non-Departmental Output Expenses",NA,"Other Economic",4876,2011,"Estimated Actual","A"
"Ministry of Economic Development","Commerce",1475,1475,"Approval and Review of Financial Reporting Standards","Non-Departmental Output Expenses",NA,"Other Economic",830,2007,"Actuals","A"
"Ministry of Economic Development","Commerce",1475,1475,"Approval and Review of Financial Reporting Standards","Non-Departmental Output Expenses",NA,"Other Economic",1205,2008,"Actuals","A"
"Ministry of Economic Development","Commerce",1475,1475,"Approval and Review of Financial Reporting Standards","Non-Departmental Output Expenses",NA,"Other Economic",1125,2009,"Actuals","A"
"Ministry of Economic Development","Commerce",1475,1475,"Approval and Review of Financial Reporting Standards","Non-Departmental Output Expenses",NA,"Other Economic",1125,2010,"Actuals","A"
"Ministry of Economic Development","Commerce",1478,1478,"Administration of the Takeovers Code","Non-Departmental Output Expenses",NA,"Other Economic",1344,2007,"Actuals","A"
"Ministry of Economic Development","Commerce",1478,1478,"Administration of the Takeovers Code","Non-Departmental Output Expenses",NA,"Other Economic",1444,2008,"Actuals","A"
"Ministry of Economic Development","Commerce",1478,1478,"Administration of the Takeovers Code","Non-Departmental Output Expenses",NA,"Other Economic",1494,2009,"Actuals","A"
"Ministry of Economic Development","Commerce",1478,1478,"Administration of the Takeovers Code","Non-Departmental Output Expenses",NA,"Other Economic",1494,2010,"Actuals","A"
"Ministry of Economic Development","Commerce",1478,1478,"Administration of the Takeovers Code","Non-Departmental Output Expenses",NA,"Other Economic",1494,2011,"Estimated Actual","A"
"Ministry of Economic Development","Commerce",1478,1478,"Administration of the Takeovers Code","Non-Departmental Output Expenses",NA,"Other Economic",1494,2012,"Main Estimates","A"
"Ministry of Economic Development","Commerce",5354,5354,"Enforcement of General Market Regulation","Non-Departmental Output Expenses",NA,"Other Economic",13343,2007,"Actuals","A"
"Ministry of Economic Development","Commerce",5354,5354,"Enforcement of General Market Regulation","Non-Departmental Output Expenses",NA,"Other Economic",15079,2008,"Actuals","A"
"Ministry of Economic Development","Commerce",5354,5354,"Enforcement of General Market Regulation","Non-Departmental Output Expenses",NA,"Other Economic",16796,2009,"Actuals","A"
"Ministry of Economic Development","Commerce",5354,5354,"Enforcement of General Market Regulation","Non-Departmental Output Expenses",NA,"Other Economic",16435,2010,"Actuals","A"
"Ministry of Economic Development","Commerce",5354,5354,"Enforcement of General Market Regulation","Non-Departmental Output Expenses",NA,"Other Economic",14742,2011,"Estimated Actual","A"
"Ministry of Economic Development","Commerce",5354,5354,"Enforcement of General Market Regulation","Non-Departmental Output Expenses",NA,"Other Economic",16435,2012,"Main Estimates","A"
"Ministry of Economic Development","Commerce",7667,7667,"Enforcement of Dairy Sector Regulation","Non-Departmental Output Expenses",NA,"Core Government Services",93,2007,"Actuals","A"
"Ministry of Economic Development","Commerce",7667,7667,"Enforcement of Dairy Sector Regulation","Non-Departmental Output Expenses",NA,"Core Government Services",905,2008,"Actuals","A"
"Ministry of Economic Development","Commerce",7667,7667,"Enforcement of Dairy Sector Regulation","Non-Departmental Output Expenses",NA,"Core Government Services",485,2010,"Actuals","A"
"Ministry of Economic Development","Commerce",7667,7667,"Enforcement of Dairy Sector Regulation","Non-Departmental Output Expenses",NA,"Core Government Services",580,2011,"Estimated Actual","A"
"Ministry of Economic Development","Commerce",7667,7667,"Enforcement of Dairy Sector Regulation","Non-Departmental Output Expenses",NA,"Core Government Services",905,2012,"Main Estimates","A"
"Ministry of Economic Development","Commerce",8625,8625,"Statutory Management - CH Finance Limited and Others - Payment of Statutory Managers","Non-Departmental Output Expenses","Permanent Legislative Authority","Other Economic",236,2007,"Actuals","A"
"Ministry of Economic Development","Commerce",8625,8625,"Statutory Management - CH Finance Limited and Others - Payment of Statutory Managers","Non-Departmental Output Expenses","Permanent Legislative Authority","Other Economic",75,2008,"Actuals","A"
"Ministry of Economic Development","Commerce",9561,9561,"Regulation of Electricity Lines Businesses","Non-Departmental Output Expenses",NA,"Other Economic",2762,2010,"Actuals","A"
"Ministry of Economic Development","Commerce",9561,9561,"Regulation of Electricity Lines Businesses","Non-Departmental Output Expenses",NA,"Other Economic",4104,2011,"Estimated Actual","A"
"Ministry of Economic Development","Commerce",9561,9561,"Regulation of Electricity Lines Businesses","Non-Departmental Output Expenses",NA,"Other Economic",4167,2012,"Main Estimates","A"
"Ministry of Economic Development","Commerce",9562,9562,"Input Methodologies","Non-Departmental Output Expenses",NA,"Other Economic",4910,2010,"Actuals","A"
"Ministry of Economic Development","Commerce",9562,9562,"Input Methodologies","Non-Departmental Output Expenses",NA,"Other Economic",3293,2011,"Estimated Actual","A"
"Ministry of Economic Development","Commerce",9562,9562,"Input Methodologies","Non-Departmental Output Expenses",NA,"Other Economic",355,2012,"Main Estimates","A"
"Ministry of Economic Development","Commerce",9563,9563,"Regulation of Airport Services","Non-Departmental Output Expenses",NA,"Transport and Communications",687,2010,"Actuals","A"
"Ministry of Economic Development","Commerce",9563,9563,"Regulation of Airport Services","Non-Departmental Output Expenses",NA,"Transport and Communications",718,2011,"Estimated Actual","A"
"Ministry of Economic Development","Commerce",9563,9563,"Regulation of Airport Services","Non-Departmental Output Expenses",NA,"Transport and Communications",400,2012,"Main Estimates","A"
"Ministry of Economic Development","Commerce",9564,9564,"Regulation of Natural Gas Services","Non-Departmental Output Expenses",NA,"Fuel and Energy",1441,2010,"Actuals","A"
"Ministry of Economic Development","Commerce",9564,9564,"Regulation of Natural Gas Services","Non-Departmental Output Expenses",NA,"Fuel and Energy",2146,2011,"Estimated Actual","A"
"Ministry of Economic Development","Commerce",9564,9564,"Regulation of Natural Gas Services","Non-Departmental Output Expenses",NA,"Fuel and Energy",1300,2012,"Main Estimates","A"
"Ministry of Economic Development","Commerce",9617,9617,"Regulation of Anti-Money Laundering and Countering Financing of Terrorism","Non-Departmental Output Expenses",NA,"Core Government Services",1920,2010,"Actuals","A"
"Ministry of Economic Development","Commerce",9617,9617,"Regulation of Anti-Money Laundering and Countering Financing of Terrorism","Non-Departmental Output Expenses",NA,"Core Government Services",2441,2011,"Estimated Actual","A"
"Ministry of Economic Development","Commerce",9707,9707,"Regulation of Auditors","Non-Departmental Output Expenses",NA,"Core Government Services",400,2012,"Main Estimates","A"
"Ministry of Economic Development","Commerce",9735,9735,"Financial Advisers and Financial Service Providers","Non-Departmental Output Expenses",NA,"Other Economic",4921,2011,"Estimated Actual","A"
"Ministry of Economic Development","Commerce",9763,9763,"Accounting and Assurance Standards Setting","Non-Departmental Output Expenses",NA,"Core Government Services",1350,2011,"Estimated Actual","A"
"Ministry of Economic Development","Commerce",9763,9763,"Accounting and Assurance Standards Setting","Non-Departmental Output Expenses",NA,"Core Government Services",4410,2012,"Main Estimates","A"
"Ministry of Economic Development","Commerce",10212,10212,"Licensing and Supervision of Market Participants","Non-Departmental Output Expenses",NA,"Other Economic",2140,2011,"Estimated Actual","A"
"Ministry of Economic Development","Commerce",10212,10212,"Licensing and Supervision of Market Participants","Non-Departmental Output Expenses",NA,"Other Economic",11688,2012,"Main Estimates","A"
"Ministry of Economic Development","Commerce",10213,10213,"Performance of Financial Markets Monitoring Functions","Non-Departmental Output Expenses",NA,"Other Economic",2125,2011,"Estimated Actual","A"
"Ministry of Economic Development","Commerce",10213,10213,"Performance of Financial Markets Monitoring Functions","Non-Departmental Output Expenses",NA,"Other Economic",6837,2012,"Main Estimates","A"
"Ministry of Economic Development","Commerce",10214,10214,"Performance of Investigation and Enforcement Functions","Non-Departmental Output Expenses",NA,"Other Economic",1314,2011,"Estimated Actual","A"
"Ministry of Economic Development","Commerce",10214,10214,"Performance of Investigation and Enforcement Functions","Non-Departmental Output Expenses",NA,"Other Economic",5749,2012,"Main Estimates","A"
"Ministry of Economic Development","Commerce",10220,10220,"Retirement Commissioner","Non-Departmental Output Expenses",NA,"Social Security and Welfare",5782,2012,"Main Estimates","A"
"Ministry of Economic Development","Commerce",60,60,"Risk Capital Fund - Directors' Fees","Non-Departmental Other Expenses",NA,"Other Economic",4,2007,"Actuals","A"
"Ministry of Economic Development","Commerce",5259,5259,"Contributions to International Organisations","Non-Departmental Other Expenses",NA,"Core Government Services",421,2007,"Actuals","A"
"Ministry of Economic Development","Commerce",5259,5259,"Contributions to International Organisations","Non-Departmental Other Expenses",NA,"Core Government Services",394,2008,"Actuals","A"
"Ministry of Economic Development","Commerce",5259,5259,"Contributions to International Organisations","Non-Departmental Other Expenses",NA,"Core Government Services",476,2009,"Actuals","A"
"Ministry of Economic Development","Commerce",5259,5259,"Contributions to International Organisations","Non-Departmental Other Expenses",NA,"Core Government Services",466,2010,"Actuals","A"
"Ministry of Economic Development","Commerce",5259,5259,"Contributions to International Organisations","Non-Departmental Other Expenses",NA,"Core Government Services",485,2011,"Estimated Actual","A"
"Ministry of Economic Development","Commerce",5259,5259,"Contributions to International Organisations","Non-Departmental Other Expenses",NA,"Core Government Services",485,2012,"Main Estimates","A"
"Ministry of Economic Development","Commerce",7722,7722,"Commerce Commission Litigation Fund","Non-Departmental Other Expenses",NA,"Other Economic",3730,2007,"Actuals","A"
"Ministry of Economic Development","Commerce",7722,7722,"Commerce Commission Litigation Fund","Non-Departmental Other Expenses",NA,"Other Economic",6993,2008,"Actuals","A"
"Ministry of Economic Development","Commerce",7722,7722,"Commerce Commission Litigation Fund","Non-Departmental Other Expenses",NA,"Other Economic",7885,2009,"Actuals","A"
"Ministry of Economic Development","Commerce",7722,7722,"Commerce Commission Litigation Fund","Non-Departmental Other Expenses",NA,"Other Economic",6370,2010,"Actuals","A"
"Ministry of Economic Development","Commerce",7722,7722,"Commerce Commission Litigation Fund","Non-Departmental Other Expenses",NA,"Other Economic",5890,2011,"Estimated Actual","A"
"Ministry of Economic Development","Commerce",7722,7722,"Commerce Commission Litigation Fund","Non-Departmental Other Expenses",NA,"Other Economic",8000,2012,"Main Estimates","A"
"Ministry of Economic Development","Commerce",7723,7723,"Securities Commission Litigation Fund","Non-Departmental Other Expenses",NA,"Other Economic",202,2007,"Actuals","A"
"Ministry of Economic Development","Commerce",7723,7723,"Securities Commission Litigation Fund","Non-Departmental Other Expenses",NA,"Other Economic",10,2008,"Actuals","A"
"Ministry of Economic Development","Commerce",7723,7723,"Securities Commission Litigation Fund","Non-Departmental Other Expenses",NA,"Other Economic",505,2009,"Actuals","A"
"Ministry of Economic Development","Commerce",7723,7723,"Securities Commission Litigation Fund","Non-Departmental Other Expenses",NA,"Other Economic",1304,2010,"Actuals","A"
"Ministry of Economic Development","Commerce",7723,7723,"Securities Commission Litigation Fund","Non-Departmental Other Expenses",NA,"Other Economic",1370,2011,"Estimated Actual","A"
"Ministry of Economic Development","Commerce",8529,8529,"Takeovers Panel Litigation Fund","Non-Departmental Other Expenses",NA,"Other Economic",49,2007,"Actuals","A"
"Ministry of Economic Development","Commerce",8529,8529,"Takeovers Panel Litigation Fund","Non-Departmental Other Expenses",NA,"Other Economic",200,2011,"Estimated Actual","A"
"Ministry of Economic Development","Commerce",8529,8529,"Takeovers Panel Litigation Fund","Non-Departmental Other Expenses",NA,"Other Economic",200,2012,"Main Estimates","A"
"Ministry of Economic Development","Commerce",9722,9722,"Proceeds of Crime Repayments","Non-Departmental Other Expenses",NA,"Law & Order",54,2010,"Actuals","A"
"Ministry of Economic Development","Commerce",10210,10210,"Financial Markets Authority Litigation Fund","Non-Departmental Other Expenses",NA,"Other Economic",1000,2011,"Estimated Actual","A"
"Ministry of Economic Development","Commerce",10210,10210,"Financial Markets Authority Litigation Fund","Non-Departmental Other Expenses",NA,"Other Economic",2500,2012,"Main Estimates","A"
"Ministry of Economic Development","Commerce",7424,7424,"Investment in Takeovers Panel","Non-Departmental Capital Expenditure",NA,"No Functional Classification",150,2010,"Actuals","A"
"Ministry of Economic Development","Commerce",7724,7724,"Investment in Securities Commission","Non-Departmental Capital Expenditure",NA,"No Functional Classification",1110,2010,"Actuals","A"
"Ministry of Economic Development","Commerce",7724,7724,"Investment in Securities Commission","Non-Departmental Capital Expenditure",NA,"No Functional Classification",1230,2011,"Estimated Actual","A"
"Ministry of Economic Development","Commerce",9764,9764,"Investment in the Accounting Standards Review Board/External Reporting Board","Non-Departmental Capital Expenditure",NA,"No Functional Classification",825,2011,"Estimated Actual","A"
"Ministry of Economic Development","Commerce",9764,9764,"Investment in the Accounting Standards Review Board/External Reporting Board","Non-Departmental Capital Expenditure",NA,"No Functional Classification",460,2012,"Main Estimates","A"
"Ministry of Economic Development","Commerce",10080,10080,"Statutory Management - Aorangi Securities Limited and Others","Non-Departmental Capital Expenditure",NA,"No Functional Classification",2000,2011,"Estimated Actual","A"
"Ministry of Economic Development","Commerce",10080,10080,"Statutory Management - Aorangi Securities Limited and Others","Non-Departmental Capital Expenditure",NA,"No Functional Classification",1000,2012,"Main Estimates","A"
"Ministry of Economic Development","Commerce",10211,10211,"Investment in the Financial Markets Authority","Non-Departmental Capital Expenditure",NA,"No Functional Classification",3400,2011,"Estimated Actual","A"
"Ministry of Economic Development","Commerce",10211,10211,"Investment in the Financial Markets Authority","Non-Departmental Capital Expenditure",NA,"No Functional Classification",5000,2012,"Main Estimates","A"
"Ministry of Economic Development","Communications",69,69,"Policy Advice - Communications","Departmental Output Expenses",NA,"Transport and Communications",5024,2007,"Actuals","A"
"Ministry of Economic Development","Communications",69,69,"Policy Advice - Communications","Departmental Output Expenses",NA,"Transport and Communications",5123,2008,"Actuals","A"
"Ministry of Economic Development","Communications",69,69,"Policy Advice - Communications","Departmental Output Expenses",NA,"Transport and Communications",4605,2009,"Actuals","A"
"Ministry of Economic Development","Communications",69,69,"Policy Advice - Communications","Departmental Output Expenses",NA,"Transport and Communications",5648,2010,"Actuals","A"
"Ministry of Economic Development","Communications",69,69,"Policy Advice - Communications","Departmental Output Expenses",NA,"Transport and Communications",5701,2011,"Estimated Actual","A"
"Ministry of Economic Development","Communications",69,69,"Policy Advice - Communications","Departmental Output Expenses",NA,"Transport and Communications",5039,2012,"Main Estimates","A"
"Ministry of Economic Development","Communications",71,71,"Management and Enforcement of the Radiocommunications Act 1989","Departmental Output Expenses",NA,"Transport and Communications",9575,2007,"Actuals","A"
"Ministry of Economic Development","Communications",71,71,"Management and Enforcement of the Radiocommunications Act 1989","Departmental Output Expenses",NA,"Transport and Communications",9856,2008,"Actuals","A"
"Ministry of Economic Development","Communications",71,71,"Management and Enforcement of the Radiocommunications Act 1989","Departmental Output Expenses",NA,"Transport and Communications",9323,2009,"Actuals","A"
"Ministry of Economic Development","Communications",71,71,"Management and Enforcement of the Radiocommunications Act 1989","Departmental Output Expenses",NA,"Transport and Communications",8843,2010,"Actuals","A"
"Ministry of Economic Development","Communications",71,71,"Management and Enforcement of the Radiocommunications Act 1989","Departmental Output Expenses",NA,"Transport and Communications",7792,2011,"Estimated Actual","A"
"Ministry of Economic Development","Communications",71,71,"Management and Enforcement of the Radiocommunications Act 1989","Departmental Output Expenses",NA,"Transport and Communications",9894,2012,"Main Estimates","A"
"Ministry of Economic Development","Communications",9384,9384,"Administration of Broadband Investment Mechanisms","Departmental Output Expenses",NA,"Other Economic",797,2009,"Actuals","A"
"Ministry of Economic Development","Communications",7594,7594,"Enforcement of Telecommunications Sector Regulation","Non-Departmental Output Expenses",NA,"Transport and Communications",3114,2007,"Actuals","A"
"Ministry of Economic Development","Communications",7594,7594,"Enforcement of Telecommunications Sector Regulation","Non-Departmental Output Expenses",NA,"Transport and Communications",6473,2008,"Actuals","A"
"Ministry of Economic Development","Communications",7594,7594,"Enforcement of Telecommunications Sector Regulation","Non-Departmental Output Expenses",NA,"Transport and Communications",6990,2009,"Actuals","A"
"Ministry of Economic Development","Communications",7594,7594,"Enforcement of Telecommunications Sector Regulation","Non-Departmental Output Expenses",NA,"Transport and Communications",6558,2010,"Actuals","A"
"Ministry of Economic Development","Communications",7594,7594,"Enforcement of Telecommunications Sector Regulation","Non-Departmental Output Expenses",NA,"Transport and Communications",6704,2011,"Estimated Actual","A"
